app_id;Qtd_Loads;Qtd_Stores;Qtd_Joins;Qtd_ApplyMaps;Qtd_Residents;Qtd_Ifs;Qtd_Fors;Qtd_Whiles
Monitor Custo;9;1;8;0;3;8;11;0
Monitor_Processo_People_OLD;4355;0;2;0;2;2544;6189;0
Monitor_Processo_People;2531;0;2;0;2;2544;2541;0
Orcado x Real;3;2;12;0;105;713;18;1
Pedidos teste;0;0;0;0;0;2;13;0
Pedidos;21;0;0;0;2;4;118;1
Presença do Sortimento;9;3;36;0;9;36;19;0
PREVENCAO_PERDAS;99;15;21;0;12;60;24;0
Previsao Saida CD;30;1;12;0;8;16;13;1
QUEBRANDO_CUSTO_AJUSTE_TAMANHO;0;0;0;0;0;1;10;0
RECALCULO_v2;4330;2164;2163;0;0;2;12;0
Rentabilidade por SKU - Preço Custo;9;0;20;0;4;11;45;0
Rentabilidade por SKU;64;1;94;0;29;19;61;1
Ruptura Loja_POCAI;2;0;0;0;0;3;11;1
Ruptura Loja;163;97;164;2;108;1304;36;2
Ruptura_CD_Geracao;21;2;54;0;27;36;14;1
Ruptura_CD;980;3;269;2;53;165;1772;4
SaaS Readiness v2.0.4 - PRD6;2;0;0;0;0;10317;51520;0
SaaS Readiness v2.0.4;2;0;7;4;23;3695;87;0
Saldo_Trocas;183;2;308;233;182;676;32;0
Simulador_de_Compras;9;0;12;0;2;1;21;0
Sumarizador Conversão Cupons;2;4;0;0;15;1;12;1
Sumarizador_Estoque_DRE;1;1;0;0;1;1;11;0
Tabelão_OFICIAL;21;8;16;0;7;31;11;0
Ticket;56;2;0;0;3;12;28;0
TIR;236;6;626;0;3979;139;3191;3
Transformador - Historico de Precos;0;0;0;0;0;1;10;0
Transformador Base Profmetrics x Consolidada;94;10;44;0;29;1964;254;1
Transformador Cluster Pop_v2;0;15;26;0;21;39;15;0
TRANSFORMADOR CMV 3 E 12 MESES;0;2;4;0;5;2;13;1
Transformador Painel Diário - Comercial;0;2;6;0;20;35;10;0
Transformador_App_Meu_Viva_Saude;10;70;40;0;110;51;99;0
Transformador_Consolidacao_Meta;19;2;4;0;11;5;12;2
Transformador_ConsolidacaoCD_DimVenda;9;1;4;0;3;11;13;0
Transformador_ConsolidacaoN2_DimVenda;103;51;196;392;504;2328;15;3
Transformador_ConsolidacaoN2_Ruptura_loja;106;3;8;200;24;36;14;3
Transformador_Farmacia_Popular_Dia;4;2;4;0;2;1;11;0
Transformador_Mapa_Compras;0;1;0;0;0;3;10;0
Transformador_Margem_Diaria_teste;1;1;0;0;0;1;12;0
Transformador_Margem_Diaria;4;13;16;1;20;12;11;1
Transformador_MarketShare;1;1;0;0;4;35;12;1
Transformador_MCD_Diario - Copy;1;218;60;0;219;126;652;0
Transformador_MCD_Diario;0;220;74;0;226;125;1084;0
Transformador_MCD_Hora;1;7;8;0;6;47;19;0
Transformador_MEDIAVENDA_Ruptura_Geracao;93;2;4;0;4;1;11;1
Transformador_MEDIAVENDA_Ruptura;93;2;4;0;4;1;11;1
Transformador_Retire_na_Loja;0;1;4;0;3;1;14;0
TRANSFORMADOR_RUPTURA_CD_PARA_LOJA;1;2;2;0;7;8;12;0
Transformador_Ruptura_Loja - Top Fornecedor;0;1;4;0;5;5;18;0
Transformador_Vtex_SelfEcomm_Contratos;0;0;0;0;0;1;10;0
Transformador_Vtex_SelfEcomm;0;0;0;0;0;1;10;0
Transformador_Wape_Torre_Indicadores;7;2;4;0;5;376;14;1
Transformador_XLS_Consolidada;16;15;48;0;44;553;304;0
Valida xls consolidada;0;0;0;0;0;3;14;0
Validacao_envia_email_carga;0;0;0;0;0;6;10;0
Valor do Estoque_DPSP;117;5;206;4;33;294;55;2
Venda - Delivery Ecommerce;84;0;0;0;1;8;13;1
Venda Acionistas;6;1;14;0;14;35;6;1
Venda por Categoria_30;92;0;146;1;4;185;50;2
Venda por Categoria_DPSP_DIA_v2;72;0;4;2;5;24;18;0
Venda por Categoria_DPSP_v2 - Copy;38;0;6;14;6;73;18;1
Venda por Categoria_DPSP_v2;40;0;6;16;6;81;18;1
Venda por Categoria_DPSP;114;0;158;0;4;88;13;1
Venda_Diaria_DPSP - Copy;135;0;0;0;0;1;10;0
Venda_Diaria_DPSP_Meta;520;2;64;0;47;629;23;2
Venda_Diaria_DPSP;5160;20;742;0;564;912;54;18
Venda_Farmacia_Popular;27;2;4;0;3;39;14;2
Venda_Hora_DPSP - Copy;17;0;0;0;1;8;10;1
Venda_Hora_DPSP;68;2;0;0;1;8;14;2
